adId,Price,Type,days_since,Parking,Lease_term,moving_date,pets_allowed_apt,size (sq.ft.),furnished_apt,AC,apt_size,Title_length,postal_code,longitude,latitude,District,desc_len
1569851011,1500,apartment,1,0.0, '1 an',july,0.0,1000.0,0,0.0,na,46,H2E 2J4,-73.6256,45.5522,Villeray Northeast,342
1569850224,1750,apartment,1,0.0, '1 an',june,1.0,1000.0,0,0.0,4 1/2,46,H2J 1M9,-73.5928,45.5289,Plateau Mont-Royal North Central,1288
1569850920,500,Room,1,,,na,0.0,,0,0.0,na,36,H2K1X6,-73.5672,45.53,Centre-Sud North,927
1569850635,2300,apartment,1,1.0, '1 an',august,1.0,1600.0,0,0.0,na,41,H3W 2M2,-73.6442,45.4988,Côte-des-Neiges Southwest,870
1565553707,1995,apartment,1,0.0, '1 an',june,0.0,836.0,0,1.0,na,41,H3G 1W4,-73.5853,45.5019,Downtown Montreal Southeast,271
1568826680,4500,apartment,1,, '1 an',july,1.0,2343.0,0,1.0,na,40,H3P 1C2,-73.653,45.5209,Mount Royal North,1424
1567631083,2530,apartment,1,1.0, '1 an',may,1.0,1449.0,0,1.0,na,58,H4R 1K8,-73.7309,45.5148,Saint-Laurent Central,2732
1563381618,1810,apartment,1,2.0, '1 an',july,1.0,1200.0,0,0.0,na,55,H1X 1M1,-73.5935,45.5577,Rosemont Central,266
1568492838,1650,apartment,9,0.0, '1 an',july,0.0,2000.0,0,0.0,na,34,H4C 3E3,-73.5922,45.478,Saint-Henri,318
1569630589,925,apartment,2,0.0, '1 an',july,0.0,800.0,0,0.0,na,19,H4H 1V2,-73.5818,45.4532,Verdun South,283
1550238430,1320,apartment,3,0.0, '1 an',may,0.0,,1,0.0,studio,64,H2X 2T1,-73.5739,45.5148,Plateau Mont-Royal Southeast,808
1552872360,1290,apartment,6,0.0, '1 an',july,1.0,900.0,0,0.0,na,40,H4A 3E6,-73.6252,45.4781,Notre-Dame-de-Grâce Northeast,221
1567631083,2530,apartment,1,1.0, '1 an',may,1.0,1449.0,0,1.0,na,58,H4R 1K8,-73.7309,45.5148,Saint-Laurent Central,2732
1568484512,4000,Room,1,,,na,0.0,,0,0.0,na,54,H9S 5H2,-73.7733,45.4409,L'Île-Dorval,539
1569850346,895,apartment,1,0.0, '1 an',july,0.0,750.0,0,0.0,na,52,H2E 2J5,-73.6256,45.5522,Villeray Northeast,297
1569843027,1150,apartment,1,0.0, '1 an',june,1.0,,0,0.0,3 1/2,54,H3X 3Z5,-73.6483,45.4915,Hampstead,1001
1569849856,1300,apartment,1,0.0, '1 an',june,1.0,1000.0,0,0.0,4 1/2,41,H3W 1Y7,-73.6442,45.4988,Côte-des-Neiges Southwest,916
1569849601,525,Room,1,,,na,0.0,,0,0.0,na,46,H2R 2E3,-73.6266,45.5452,Villeray Southeast,1810
1569849324,530,Room,1,,,na,0.0,,0,0.0,na,64,H2M 1N6,-73.6515,45.55,Ahuntsic East,74
1569849269,1000,apartment,1,0.0, '1 an',july,1.0,1.0,0,0.0,na,56,H2M 2T9,-73.6515,45.55,Ahuntsic East,330
1569849180,1630,apartment,1,1.0, '1 an',july,1.0,1000.0,0,0.0,na,50,H4A 2N3,-73.6252,45.4781,Notre-Dame-de-Grâce Northeast,1093
1569848877,1350,apartment,1,0.0, '1 an',july,1.0,760.0,0,0.0,condo,50,H1W 3G9,-73.5616,45.5423,Hochelaga,931
1569848870,2100,apartment,1,1.0, '1 an',september,1.0,840.0,0,1.0,4 1/2,52,H3J 1S1,-73.5725,45.4922,Petite-Bourgogne,1475
1569843798,1595,apartment,1,0.0, '1 an',june,1.0,850.0,0,1.0,condo,53,H4C 1W6,-73.5922,45.478,Saint-Henri,1205
1569848712,450,Room,1,,,na,0.0,,0,0.0,na,18,H2S2S3,-73.6144,45.5356,Petite-Patrie Southwest,752
1569848457,1190,apartment,1,0.0, '1 an',july,1.0,800.0,0,0.0,na,52,H2K 3T5,-73.5672,45.53,Centre-Sud North,797
1569848247,950,apartment,1,0.0, '1 an',june,0.0,750.0,0,0.0,4 1/2,38,H1L 2L1,-73.5362,45.5943,Mercier North,1052
1569848318,1500,apartment,1,0.0, '1 an',june,1.0,900.0,1,1.0,4 1/2,19,H2J 2L9,-73.5928,45.5289,Plateau Mont-Royal North Central,483
1569848215,850,apartment,1,0.0, '1 an',july,1.0,800.0,0,0.0,4 1/2,42,H2G 2V1,-73.6061,45.5434,Petite-Patrie Northeast,513
1569848158,1100,apartment,1,0.0, '1 an',july,0.0,775.0,0,0.0,4 1/2,53,H2R 2K6,-73.6266,45.5452,Villeray Southeast,141
1569848144,500,Room,1,,,na,0.0,,0,0.0,na,61,,-1.0,-1.0,-1,322
1569848136,755,apartment,1,1.0, '1 an',september,0.0,70.0,0,0.0,4 1/2,32,H3L 3L4,-73.6754,45.5529,Ahuntsic Southwest,294
1569847789,1190,apartment,1,0.0, '1 an',june,0.0,500.0,0,0.0,na,22,H2R2E2,-73.6266,45.5452,Villeray Southeast,234
