,Price,longitude,latitude,geometry
913,720.0,-73.6515,45.55,POINT (-73.6515 45.55)
914,1225.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
915,900.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
916,1695.0,-73.6144,45.5356,POINT (-73.6144 45.5356)
917,700.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
918,1300.0,-73.6266,45.5452,POINT (-73.6266 45.5452)
919,1450.0,-73.647,45.5664,POINT (-73.64700000000001 45.5664)
920,1450.0,-73.647,45.5664,POINT (-73.64700000000001 45.5664)
921,870.0,-73.6979,45.5459,POINT (-73.6979 45.5459)
922,1375.0,-73.6153,45.5298,POINT (-73.6153 45.5298)
923,1695.0,-73.6153,45.5298,POINT (-73.6153 45.5298)
924,975.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
925,1850.0,-73.6722,45.4991,POINT (-73.6722 45.4991)
926,1129.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
927,1299.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
928,1749.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
929,1199.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
930,1199.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
931,1775.0,-73.6177,45.4965,POINT (-73.6177 45.4965)
932,1015.0,-73.6177,45.4965,POINT (-73.6177 45.4965)
933,1499.0,-73.6177,45.4965,POINT (-73.6177 45.4965)
934,1050.0,-73.6979,45.5459,POINT (-73.6979 45.5459)
935,1475.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
936,2145.0,-73.5837,45.5377,POINT (-73.58369999999999 45.5377)
937,1350.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
938,1295.0,-73.5672,45.53,POINT (-73.5672 45.53)
939,1135.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
940,990.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
941,2725.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
942,2995.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
943,2125.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
944,1295.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
945,1395.0,-73.6024,45.5278,POINT (-73.6024 45.5278)
